DIA;VDA_CMV
09/07/2015;3023,05
10/07/2015;8371,74
11/07/2015;9195,57
12/07/2015;3541,78
13/07/2015;1294,44
14/07/2015;3321,94
15/07/2015;3719,56
16/07/2015;3630,23
17/07/2015;6411,06
18/07/2015;11075,86
19/07/2015;3373,36
20/07/2015;3185,44
21/07/2015;2456,3
22/07/2015;3087,36
23/07/2015;2306,95
24/07/2015;6278,74
25/07/2015;10553,4
26/07/2015;3351,03
27/07/2015;1688,5
28/07/2015;2752,21
29/07/2015;2099,47
30/07/2015;4837,49
31/07/2015;6507,75
01/08/2015;11549,79
02/08/2015;4321,62
03/08/2015;2141,88
04/08/2015;1951,86
05/08/2015;4133,98
06/08/2015;4934,4
07/08/2015;7361,16
08/08/2015;14018,07
09/08/2015;4356,5
10/08/2015;1910,87
11/08/2015;2367,83
12/08/2015;3051,39
13/08/2015;2828,29
14/08/2015;5738,69
15/08/2015;9237,75
16/08/2015;3832,61
17/08/2015;2428,54
18/08/2015;1160,65
19/08/2015;2330,04
20/08/2015;3358,56
21/08/2015;5889,5
22/08/2015;10921,28
23/08/2015;3653,34
24/08/2015;1757,52
25/08/2015;2545,35
26/08/2015;3006,36
27/08/2015;3374,65
28/08/2015;5414,92
29/08/2015;11957,51
30/08/2015;3458,08
31/08/2015;1524,12
01/09/2015;3057,21
02/09/2015;3884,88
03/09/2015;6204,51
04/09/2015;10226,1
05/09/2015;14349,52
06/09/2015;6596,75
07/09/2015;4291,12
08/09/2015;2380,41
09/09/2015;3621,19
10/09/2015;2717,93
11/09/2015;6959,65
12/09/2015;10000,61
13/09/2015;3384,94
14/09/2015;1453,28
15/09/2015;2216,37
16/09/2015;4579,67
17/09/2015;7014,31
18/09/2015;8134,31
19/09/2015;14085,37
20/09/2015;4705,32
21/09/2015;3857,9
22/09/2015;2636,86
23/09/2015;3979
24/09/2015;4475,62
25/09/2015;12002,49
26/09/2015;14342,08
27/09/2015;4196,76
28/09/2015;2959,75
29/09/2015;3304,89
30/09/2015;3196,16
01/10/2015;4045,63
02/10/2015;9439,41
03/10/2015;14581,43
04/10/2015;4579,69
05/10/2015;2337,62
06/10/2015;4539,15
07/10/2015;5519,08
08/10/2015;5787,58
09/10/2015;10001,61
10/10/2015;15658,52
11/10/2015;7089,73
12/10/2015;5616,94
13/10/2015;3455,09
14/10/2015;4417,11
15/10/2015;6122,6
16/10/2015;9479,26
17/10/2015;14887,51
18/10/2015;3992,8
19/10/2015;2303,87
20/10/2015;3425,63
21/10/2015;5903,41
22/10/2015;4925,96
23/10/2015;10499,55
24/10/2015;13668,91
25/10/2015;4518,84
26/10/2015;2161,28
27/10/2015;2544,68
28/10/2015;4254,98
29/10/2015;6068,52
30/10/2015;9414,98
31/10/2015;13502,09
01/11/2015;6150,78
02/11/2015;2998,75
03/11/2015;2084,7
04/11/2015;3818,13
05/11/2015;5768,28
06/11/2015;7402,5
07/11/2015;12643,24
08/11/2015;4289,93
09/11/2015;2282,68
10/11/2015;4290,25
11/11/2015;3270,17
12/11/2015;4413,57
13/11/2015;6759,58
14/11/2015;12300,02
15/11/2015;3842,13
16/11/2015;1770,42
17/11/2015;2146,92
18/11/2015;2853,01
19/11/2015;5773,42
20/11/2015;13729,17
21/11/2015;14087,38
22/11/2015;5051,46
23/11/2015;1758,28
24/11/2015;2807,69
25/11/2015;4231,44
26/11/2015;5683,27
27/11/2015;9254,83
28/11/2015;16201,45
29/11/2015;4529,15
30/11/2015;2556,81
01/12/2015;4252,71
02/12/2015;3963,89
03/12/2015;4314,52
04/12/2015;10175,77
05/12/2015;14281,56
06/12/2015;3990,3
07/12/2015;3447,95
08/12/2015;3611,83
09/12/2015;24301,83
10/12/2015;5553,56
11/12/2015;11436,84
12/12/2015;15785,08
13/12/2015;4760,67
14/12/2015;4087,74
15/12/2015;4561,68
16/12/2015;4454,22
17/12/2015;5372,14
18/12/2015;9699,3
19/12/2015;16063,49
20/12/2015;6570,82
21/12/2015;7366,47
22/12/2015;8980,15
23/12/2015;20438,31
24/12/2015;35955,9
26/12/2015;13576,65
27/12/2015;3977,8
28/12/2015;4692,5
29/12/2015;8492,14
